longitude,latitude,start_date,end_date,label,cube,time_series
-55.00265092191743,-3.3707463213476028,2001-01-01,2023-01-01,liana,NA,NA
-55.002689034856964,-3.370875335484881,2001-01-01,2023-01-01,ginja,NA,NA
-55.002407423414695,-3.369630542322121,2001-01-01,2023-01-01,ucuuba terra-firme,NA,NA
-55.002459218118545,-3.3696114041984915,2001-01-01,2023-01-01,morta,NA,NA
-55.002467823687304,-3.3696022213530257,2001-01-01,2023-01-01,breu sucuruba,NA,NA
-55.002485242061994,-3.369610844381607,2001-01-01,2023-01-01,quinarana,NA,NA
-55.00250251892779,-3.369592493554038,2001-01-01,2023-01-01,abiurana vermelha,NA,NA
-55.00249360569186,-3.3695477231141733,2001-01-01,2023-01-01,freijo branco,NA,NA
-55.002484926179235,-3.3695568892379817,2001-01-01,2023-01-01,ucuuba terra-firme,NA,NA
-55.002476202235364,-3.3695570646956483,2001-01-01,2023-01-01,jatoba,NA,NA
-55.00245011591526,-3.3695665910242267,2001-01-01,2023-01-01,inga-de-rosca,NA,NA
-55.002458831643,-3.3695664137087005,2001-01-01,2023-01-01,joao-mole,NA,NA
-55.002710621952154,-3.3696149368209714,2001-01-01,2023-01-01,abiurana branca,NA,NA
-55.00241525300473,-3.369567300285245,2001-01-01,2023-01-01,tauari,NA,NA
-55.00271979594047,-3.3695879212813074,2001-01-01,2023-01-01,envira amarela,NA,NA
-55.00247595878189,-3.3695210871678176,2001-01-01,2023-01-01,jarana,NA,NA
-55.00267627648329,-3.3695933115637917,2001-01-01,2023-01-01,capueiro,NA,NA
-55.00245836787079,-3.3695124251210453,2001-01-01,2023-01-01,breu barrote,NA,NA
-55.00265877969738,-3.369603530105017,2001-01-01,2023-01-01,capueiro,NA,NA
-55.00244074409579,-3.3695037556419316,2001-01-01,2023-01-01,tachi preto,NA,NA
-55.00262395762445,-3.369616821475198,2001-01-01,2023-01-01,tachi vermelho,NA,NA
-55.00245821327966,-3.3694944289251154,2001-01-01,2023-01-01,grao-de-guariba,NA,NA
-55.002511322003684,-3.3696282584638246,2001-01-01,2023-01-01,ucuuba vermelha,NA,NA
-55.002466925655824,-3.369485270233644,2001-01-01,2023-01-01,tauari,NA,NA
-55.00251988130473,-3.36958314268217,2001-01-01,2023-01-01,abiurana branca,NA,NA
-55.00248439970414,-3.3694669639984505,2001-01-01,2023-01-01,quinarana,NA,NA
-55.00255473866091,-3.369541121317531,2001-01-01,2023-01-01,pau-de-colher,NA,NA
-55.00245774950516,-3.3694404403374096,2001-01-01,2023-01-01,morta,NA,NA
-55.00257224530459,-3.3695309050078515,2001-01-01,2023-01-01,mamorana,NA,NA
-55.00246651117704,-3.3694312927939296,2001-01-01,2023-01-01,envira,NA,NA
-55.00259833745352,-3.369554608280478,2001-01-01,2023-01-01,tachi preto,NA,NA
-55.00245767220924,-3.36943144223944,2001-01-01,2023-01-01,quinarana,NA,NA
-55.00259849993559,-3.369527703170673,2001-01-01,2023-01-01,capueiro,NA,NA
-55.00248403116872,-3.369404016330755,2001-01-01,2023-01-01,inhare,NA,NA
-55.002598554096174,-3.369518734800795,2001-01-01,2023-01-01,capueiro,NA,NA
-55.002501722184505,-3.36939473977917,2001-01-01,2023-01-01,tachi preto,NA,NA
-55.00251100841322,-3.369527604624566,2001-01-01,2023-01-01,cabreuva,NA,NA
-55.00243023780878,-3.3693508575278375,2001-01-01,2023-01-01,tachi preto,NA,NA
-55.00251971710319,-3.3695085664190794,2001-01-01,2023-01-01,morta,NA,NA
-55.0024389632636,-3.3693327211766175,2001-01-01,2023-01-01,tachi preto,NA,NA
-55.002546013246146,-3.369519742959997,2001-01-01,2023-01-01,inhare,NA,NA
-55.00241182010324,-3.3693060860342565,2001-01-01,2023-01-01,gema-de-ovo,NA,NA
-55.00251084601578,-3.3694754803148204,2001-01-01,2023-01-01,cupiuba,NA,NA
-55.00247449804502,-3.3693052220008517,2001-01-01,2023-01-01,capueiro,NA,NA
-55.002510809616126,-3.369463797279918,2001-01-01,2023-01-01,joao-mole,NA,NA
-55.00251028601212,-3.3692957413155873,2001-01-01,2023-01-01,tachi vermelho,NA,NA
-55.00255487469722,-3.3694477536540965,2001-01-01,2023-01-01,joao-mole,NA,NA
-55.00249222829796,-3.369269012469517,2001-01-01,2023-01-01,tauari,NA,NA
-55.00257246074541,-3.3694653952170683,2001-01-01,2023-01-01,morta,NA,NA
-55.00250117893708,-3.369259907659657,2001-01-01,2023-01-01,murta,NA,NA
-55.00258984323226,-3.3695099325995526,2001-01-01,2023-01-01,louro preto,NA,NA
-55.00248318879323,-3.36926013594732,2001-01-01,2023-01-01,tachi preto,NA,NA
-55.0025812291215,-3.3694742104244684,2001-01-01,2023-01-01,tachi vermelho,NA,NA
-55.0024472940189,-3.3692695924775076,2001-01-01,2023-01-01,abiurana vermelha,NA,NA
-55.00262506094727,-3.3694913423322,2001-01-01,2023-01-01,louro preto,NA,NA
-55.002402233148224,-3.3692611632374105,2001-01-01,2023-01-01,jatoba,NA,NA
-55.00261659009684,-3.369452060307759,2001-01-01,2023-01-01,morta,NA,NA
-55.00242000296947,-3.369242923891339,2001-01-01,2023-01-01,casca seca,NA,NA
-55.00263436454955,-3.3694374142513617,2001-01-01,2023-01-01,cacau,NA,NA
-55.00242881058308,-3.3692248061202745,2001-01-01,2023-01-01,abiurana vermelha,NA,NA
-55.00256377389937,-3.369415287604668,2001-01-01,2023-01-01,coracao-de-negro,NA,NA
-55.0024740111266,-3.3692332669450593,2001-01-01,2023-01-01,pau-de-remo,NA,NA
-55.00257263781809,-3.3694115515533416,2001-01-01,2023-01-01,murure,NA,NA
-55.002483030846456,-3.369233158375337,2001-01-01,2023-01-01,figado,NA,NA
-55.0025638037137,-3.369402721481849,2001-01-01,2023-01-01,tauari,NA,NA
-55.00248297819743,-3.369224165851358,2001-01-01,2023-01-01,capueiro,NA,NA
-55.002519469805414,-3.3693962527696586,2001-01-01,2023-01-01,envira-cana,NA,NA
-55.00243765106054,-3.3692066957810116,2001-01-01,2023-01-01,morta,NA,NA
-55.00255496625714,-3.369384910034382,2001-01-01,2023-01-01,tachi preto,NA,NA
-55.002428504747805,-3.369197795104336,2001-01-01,2023-01-01,urucurana,NA,NA
-55.00254609350456,-3.3693715809138434,2001-01-01,2023-01-01,quaruba,NA,NA
-55.002374038006096,-3.369189387106153,2001-01-01,2023-01-01,capueiro,NA,NA
-55.00268559053234,-3.369551958709546,2001-01-01,2023-01-01,capueiro,NA,NA
-55.002346855608494,-3.3691896849418854,2001-01-01,2023-01-01,tauari,NA,NA
-55.00268575411725,-3.3695412189616984,2001-01-01,2023-01-01,breu barrote,NA,NA
-55.00228343001576,-3.3691903798889844,2001-01-01,2023-01-01,tachi preto,NA,NA
-55.002677557531,-3.3695037950844364,2001-01-01,2023-01-01,capueiro,NA,NA
